product_name,description,price,stock
Camiseta Azul,Camiseta de algodón talla M,19.99,10
Camiseta Roja,Camiseta de algodón talla L,21.99,8
Jeans Clásicos,Pantalón vaquero azul,39.99,12
Laptop X200,Laptop para oficina con 8GB RAM,599.99,5
Laptop Gamer Z500,Laptop para juegos con 16GB RAM y RTX 3060,1299.99,3
Auriculares Pro,Auriculares inalámbricos con cancelación de ruido,129.99,15
Auriculares Básicos,Auriculares con cable,29.99,20
Smartphone S10,Teléfono inteligente 128GB,499.99,7
Smartwatch T200,Reloj inteligente con monitor de salud,199.99,10
Mochila Urbana,Mochila resistente para laptop y libros,49.99,6
